State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male SC,Female SC,ST,Male ST,Female ST,Workers,Male workers,Female workers,Main workers,Marginal workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Lpg cylindar,Electricty,Internet,Computer,Rural Households,Urbal Households,Households,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduates,Literates,Illiterates,Total Educated,Age 0 to 30,Age 30 to 50,Age above 50,Cars,Radios,Motorcycles,Mobiles,All Gadgets,Television,Landlines,Both Phone and Landline,Latrine facilities,Owned,Rented,Fuel,No Latrine Facilities,wells,Handpump Tubewell Borewell,Spring water,Canal,Other Sources of Water,Drinking Water Near Household,Drinking Water Within Household,Watertank Pond Lakes,Tapwater,DrinkingWater Source Far From Home,1 couple,2 couple,3 couple,3 or more couple,1 member,2 members,1-2 members,3 members,3-5 members,4 members,5 members,6-8 members,9 members,Total_minority,Male Minority,Female Minority,Secondary - Higher
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,1158386,782260,708954,356099,352855,364269,187035,177234,2082501,1140067,942434,1815643,266858,3673456,334172,21345,658,290,388,267,136843,757821,6153,60812,848963,161052,1010015,419379,596134,441585,308575,169083,98227,2049104,1604319,3653423,2360874,1027525,637430,12615,60282,121553,527437,11293,362791,570261,18944,231015,800743,66068,1219,621148,5990,166074,1908,2595,11889,329098,290371,774,681260,254390,632870,116194,19694,23895,25689,79590,105279,120964,541398,225428,195006,191259,35923,1073223,543134,530089,139492
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,953406,683731,537947,266413,271534,168985,86574,82411,1442203,837874,604329,1195494,246709,2637313,342449,34301,1309,554,457,217,163074,604719,8635,47170,593653,195479,789132,324267,503713,481984,373729,201928,127493,2029580,1199818,3229398,1735769,779738,509368,14362,69729,119276,430639,15872,349304,482440,23516,293838,570933,90125,716,363300,9627,149702,319,316,9422,228110,278173,386,494042,160481,482906,92770,14040,16643,19664,65211,84875,96457,419073,178179,144437,140018,22798,706932,352987,353945,171801
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,1160757,840262,637385,318359,319026,394279,203876,190403,1741693,976428,765265,1493419,248274,3249231,188646,35025,937,241,250,132,228818,789225,7715,53777,833504,197433,1030937,369537,518669,471233,367424,238695,196134,2188695,1294811,3483506,1932349,897137,651748,18927,44340,143010,545350,15308,464172,588791,19542,355700,760789,103172,635,512068,28731,162241,763,1096,78943,298874,347474,258,598439,229084,655150,89307,8970,10032,45165,120169,165334,144858,578886,270974,163054,119437,11775,1031664,522235,509429,128729
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,790214,599596,371074,178798,192276,192941,95679,97262,1261076,684320,576756,1055965,205111,2123426,391596,19653,2357,1847,542,146,186740,545913,5261,35036,565165,155133,720298,269487,421399,338668,396396,223365,141850,1804547,1041862,2846409,1399773,676401,437573,10088,46837,102049,385123,9899,308270,428744,20344,245523,490840,93887,573,338471,8125,114151,391,335,14269,218935,242762,823,450359,129036,432299,68637,8050,9206,23207,67384,90591,94217,379595,163189,122189,107972,12575,564015,274477,289538,173031
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,1107686,796749,787861,397242,390619,151145,76677,74468,1700567,991842,708725,1463508,237059,3150195,220654,18775,266,97,204,206,290947,763746,6151,43611,873486,214089,1087575,489805,495556,368919,249034,142026,133627,1900943,1218310,3119253,1832695,917391,641707,9071,40847,105940,451056,10365,468022,494689,18557,321332,717208,127205,640,526726,91097,244709,3379,2055,24112,406577,197300,6529,481021,253399,643184,89358,10022,11413,51012,130198,181210,144923,548015,251635,151457,115932,12119,939006,473919,465087,107008
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,857824,637557,255664,125214,130450,166118,81382,84736,1290288,766483,523805,936244,354044,2666950,9025,18879,193,77,160,106,149554,615432,3988,32280,752752,149684,902436,291793,348354,319244,251521,146721,121213,1499877,1009992,2509869,1423119,747385,528736,5264,19494,64087,294830,6316,297418,332230,18598,146386,610487,68045,1406,533734,199161,282509,2719,10077,3531,394989,107308,1567,179917,187026,506897,66546,7462,8385,42847,86481,129328,118149,464451,224481,121821,85869,9675,421782,206596,215186,104800
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,707503,530885,247728,121493,126235,235556,114687,120869,1157962,679289,478673,953215,204747,2299129,16423,17853,380,114,815,183,140361,527736,4453,24128,592458,157056,749514,250446,300057,257468,186576,115144,103591,1240323,1031683,2272006,1206366,666394,451469,5002,28633,61858,236327,7516,278230,265587,16052,131289,514227,68076,729,456712,73701,246172,6785,2591,1015,396943,95138,2588,259205,104524,440182,65254,6261,6993,30854,74473,105327,104907,403386,192867,105612,80085,7807,483284,236180,247104,71432
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,1179790,885233,616102,307709,308393,530656,268976,261680,1705655,960926,744729,1442197,263458,3273755,197333,31377,1453,253,569,126,237349,828077,12952,59006,758738,288249,1046987,314252,457529,454322,430242,279234,248942,2212184,1191252,3403436,1891954,941452,664872,15727,71400,139404,508632,22196,462819,568508,25094,388583,761465,117060,547,491661,67830,174218,1117,507,40479,216245,461825,698,597926,210483,676526,90062,8344,9354,43692,124347,168039,144960,593070,285338,162772,117016,10428,1146758,576685,570073,151008
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,1379223,1273166,811698,403693,408005,109072,53367,55705,1773112,1199338,573774,1534166,238946,3733191,86142,109120,288,209,1578,211,435334,1017568,12050,55613,1007255,248373,1255628,595331,718960,585595,415178,215863,207586,2771842,1028767,3800609,2051513,1127764,755533,14687,70135,182698,478091,19128,648607,578252,43490,694857,836015,207958,1152,307863,20184,126299,264,8333,7707,338966,593261,10333,900503,143553,830550,71679,5319,5684,70587,193110,263697,211052,724609,363280,150277,82492,4982,920770,457060,463710,199315
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,73174,44027,29147,0,0,0,53878,27061,26817,62966,39329,23637,50765,12201,47683,2134,35969,94,50381,95,11738,4762,14593,170,1486,33422,6498,39920,20425,22537,17354,10032,5641,3633,80456,57290,137746,96630,35018,16414,1102,6639,2450,9224,499,9314,10621,963,19606,20141,5793,1,8346,3501,9164,979,1748,385,10346,12040,52,12297,6042,21057,3081,422,483,1429,2130,3559,3395,13892,5197,5300,8962,2015,53878,27061,26817,4391
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,21599,16850,0,0,0,72400,35266,37134,31710,16424,15286,27123,4587,12333,652,37136,36,452,23,27868,3583,5318,57,885,14503,5215,19718,11713,10487,8852,6213,4510,2330,44247,31763,76010,53752,17922,6960,577,2116,1382,3378,203,3169,4178,538,4703,12051,2014,1,9232,296,46,1375,1309,160,7097,2839,164,11181,4674,11366,1396,217,266,494,1068,1562,1626,6187,2156,2405,5600,1261,72400,35266,37134,1703
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,62576,34210,28366,0,0,0,69979,34533,35446,40222,23591,16631,33578,6644,27854,2289,18254,69,776,30,49393,4866,14231,450,1582,19497,9524,29021,9938,13713,13968,10937,9498,6540,65119,21543,86662,61993,25334,11802,2072,7467,4568,10557,930,9363,12744,1244,11735,11640,5518,9,6857,733,3798,485,633,194,7331,7504,135,12954,4260,13537,2123,358,446,1215,1598,2813,1966,8102,2950,3186,6270,1910,69979,34533,35446,1439
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,36606,20258,16348,0,0,0,90764,44459,46305,38044,18429,19615,24372,13672,4859,471,51189,43,121,81,34158,586,3911,95,969,18603,1092,19695,12661,15054,12264,6997,4353,2031,53659,42621,96280,64379,20713,6836,605,3167,884,2988,106,1320,3318,174,4066,15458,410,24,11332,951,99,3613,2385,1725,7920,1688,390,6770,6354,12003,2146,329,403,184,648,832,1247,5358,1898,2213,8718,1054,90764,44459,46305,2644
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,48380,34682,0,0,0,47410,23457,23953,60945,38910,22035,50754,10191,99020,3846,10684,210,24452,104,7277,6549,17157,312,1471,33599,11372,44971,19306,25179,20643,13070,7612,5180,91574,52421,143995,94890,35493,15195,1203,6169,3884,11499,631,12215,13372,1121,17327,17340,7188,12,11169,925,16855,104,1739,456,7993,16365,181,8500,5049,21917,2652,386,447,1667,2314,3981,3828,15082,5588,5666,8813,1531,47410,23457,23953,5458
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,18087,13762,0,0,0,25974,12649,13325,22326,14102,8224,19829,2497,28915,2247,9213,33,2932,19,10393,3068,5932,207,742,12000,3950,15950,5875,7957,7351,5508,3570,2795,33141,14406,47547,35140,13254,5652,703,2736,2128,5804,346,4345,6616,595,6143,5317,3805,2,4246,154,2577,81,750,222,3148,5416,16,7059,2319,7625,977,116,151,926,1038,1964,1399,5222,1975,1848,3048,649,25974,12649,13325,1938
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,29470,24587,0,0,0,72911,35803,37108,30202,17339,12863,22669,7533,9551,1482,34402,27,193,13,37085,4211,12493,381,1598,18112,5365,23477,8492,10821,11661,9861,7674,5230,54034,17273,71307,55258,20305,7412,2002,3921,2973,7429,655,7285,9532,1598,11232,11259,3062,1,3564,505,142,425,600,346,5240,7800,169,12831,2094,10649,1513,260,358,960,1225,2185,1636,5721,2058,2027,5450,1778,72911,35803,37108,2187
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,65794,55254,0,0,0,117216,56469,60747,65772,41263,24509,51157,14615,57027,6148,84397,310,4768,139,22586,22966,30539,2477,7418,20308,30180,50488,15368,21956,21376,20007,17342,13840,110815,30360,141175,120592,43812,11856,6454,5958,8668,22828,4243,23203,27411,3186,25706,15037,12769,32,6313,2472,662,976,1653,409,9481,19772,346,25063,4223,24776,2474,435,559,1943,3138,5081,4629,16296,6373,5294,9382,2717,117216,56469,60747,2665
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,26073,17720,8353,0,0,0,34811,16770,18041,28561,19554,9007,24430,4131,11842,787,776,1164,34920,72,349,3794,8635,96,494,10730,2452,13182,4904,4730,4029,2140,1989,1379,19838,19203,39041,30709,13849,5399,895,2356,205,2310,247,4824,4036,955,7026,6820,2134,6,2345,16,8,772,165,820,3654,3806,40,7643,2017,6239,323,19,21,1194,1203,2397,1580,4886,1777,1529,2034,160,34811,16770,18041,151
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,47974,29313,18661,0,0,0,98372,49365,49007,50169,27545,22624,44262,5907,20682,1103,83361,61,778,43,5325,3104,16026,98,888,18420,6500,24920,13585,16989,12077,7834,4305,2134,57106,50628,107734,71785,25669,14423,679,2281,1369,6563,216,6118,7182,456,16937,15861,2575,0,1966,1425,133,3127,1627,748,7290,4989,384,11931,7206,13124,3072,482,565,944,1418,2362,1989,7974,2960,3025,6681,2468,98372,49365,49007,3529
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,18195,10723,7472,0,0,0,28468,14413,14055,17644,9968,7676,14524,3120,5261,411,5643,27,2577,7,20967,1504,6198,97,392,8569,2182,10751,3952,5584,4915,2935,2211,1349,20992,11209,32201,21090,8910,5252,430,1415,1031,2890,165,2823,3491,502,4413,5393,1047,1,2650,7,1,220,35,114,3801,2537,5,6796,848,4865,631,66,87,795,833,1628,837,2749,934,978,2100,709,28468,14413,14055,724
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,45278,24807,20471,0,0,0,78323,38570,39753,33370,17898,15472,25717,7653,13474,521,8779,28,297,11,59449,3123,5373,139,750,14542,4672,19214,10219,16118,15339,10348,8017,4276,64790,28364,93154,56054,20055,7230,569,4629,1435,2569,189,3580,3653,609,6658,13420,1635,23,8032,112,47,903,978,1629,7080,3847,106,11712,4614,12018,1285,167,227,364,1162,1526,1714,6935,2530,2691,6174,906,78323,38570,39753,2331
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,29566,18926,0,0,0,46380,22771,23609,42493,28313,14180,34752,7741,31265,1970,8466,328,36087,71,5556,7133,14188,202,887,17889,6306,24195,8836,10317,8428,5633,3987,2693,40193,25606,65799,53026,22362,8493,1299,3081,1045,6641,371,8634,7942,867,8253,9390,5787,1,7471,30,92,775,693,470,7026,6902,254,14074,2477,11500,1003,105,132,1439,1689,3128,2447,8509,3294,2768,4146,622,46380,22771,23609,1646
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,36777,27969,0,0,0,92783,45746,47037,49177,29156,20021,43000,6177,15881,2218,29969,577,3311,49,60005,6115,14204,303,1300,22272,8503,30775,14227,17675,15908,11441,8418,6030,74220,27956,102176,70415,28305,13469,1964,4771,4023,7725,621,9593,10217,1623,15800,14876,4678,23,4173,199,541,882,914,437,7809,9685,27,17389,2980,13982,2874,493,631,1017,1395,2412,1944,8169,2896,3329,7494,2399,92783,45746,47037,3023
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,499038,398020,95320,49165,46155,27344,13530,13814,561824,445297,116527,439453,122371,492966,1198036,1020,112,49,399,14,50806,84804,2078,25286,447189,52192,499381,210607,307884,300845,121924,87377,46947,1083591,664161,1747752,1072312,405046,215355,5560,66059,24913,143945,3522,55319,151699,3629,243504,326160,7625,7977,91338,12995,296555,479,7691,12151,74876,220128,976,5966,43468,261844,36749,7012,8510,8117,23690,31807,47692,190552,74238,68622,95730,20383,122664,62695,59969,34547
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,237114,196964,82784,42513,40271,18835,9377,9458,255806,197542,58264,191671,64135,359145,371033,5924,384,236,871,9,29937,49866,2523,12959,181923,38470,220393,93591,138294,133643,55924,35491,20221,479431,260721,740152,458796,184849,94939,5837,26375,16579,70455,4174,36350,78595,4536,84687,134382,12007,788,63535,46422,85906,418,2463,3750,28239,103898,159,8885,18150,109693,15859,3079,3822,4790,10961,15751,23471,85826,34496,27859,39096,9614,101619,51890,49729,20433
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,639946,534182,264897,136051,128846,17569,8736,8833,608062,469752,138310,471259,136803,1038985,654816,37635,280,341,1673,98,62135,140205,5316,37541,346227,88933,435160,256855,447993,379469,156156,79766,45341,1378531,357907,1736438,1048990,444899,241776,8700,57825,22647,149865,6365,99887,168487,9814,298041,324905,25190,514,61819,98179,18687,8090,39475,2045,169873,80138,60245,134160,118032,277244,25131,3324,4092,16072,40838,56910,61055,203831,76457,66319,93340,13962,282466,144787,137679,76390
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,268666,218373,40260,20566,19694,8419,4300,4119,324843,246864,77979,241456,83387,327322,597392,1688,431,57,724,19,17676,45444,1166,12084,268517,20189,288706,119027,163277,161153,59039,47398,22267,575240,375556,950796,583436,226525,118102,3533,52657,13662,67484,2046,30616,72141,1703,95080,180669,3789,863,89323,9761,162815,216,3593,4532,43447,110458,1467,4865,34147,144343,18049,2852,3432,5759,13648,19407,28435,106839,42950,35454,50693,11113,48679,24866,23813,11641
